no,userstory
1,به عنوان یک مشتری فروشگاه آنلاین من می‌خواهم بتوانم به راحتی و سریع محصولاتی که به دنبال آن‌ها هستم را پیدا کنم تا بتوانم خرید خود را بدون هیچ دردسری انجام دهم و وقت خود را صرف جستجوی طولانی نکنم. 
2,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌های خاص مانند سایز یا رنگ جستجو کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم. 
3,به عنوان یک مشتری من می‌خواهم آدرس تحویل جدیدی به سرعت اضافه کنم تا بتوانم سفارشات خود را به مکان جدید دریافت کنم. 
4,"به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌هایی مانند قیمت، برند و رتبه‌بندی فیلتر کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم. "
5,به عنوان یک مشتری من می‌خواهم بتوانم وضعیت تحویل سفارش خود را پیگیری کنم تا بتوانم زمان دقیق تحویل را بدانم. 
6,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را برای خریدهای آینده ذخیره کنم تا بتوانم بعداً به راحتی آن‌ها را خریداری کنم. 
7,به عنوان یک کاربر من می‌خواهم امکان اشتراک در خبرنامه وب‌سایت را داشته باشم تا بتوانم از آخرین تخفیف‌ها و پیشنهادات آگاه شوم. 
8,به عنوان یک کاربر غیر بومی من می‌خواهم زبان سایت را تغییر دهم تا بتوانم محتوای سایت را به زبان خودم مطالعه کنم. 
9,به عنوان یک کاربر من می‌خواهم بتوانم با استفاده از حساب‌های اجتماعی وارد سایت شوم تا بتوانم فرآیند ورود را سریع‌تر انجام دهم. 
10,به عنوان یک مشتری من می‌خواهم بتوانم کد تخفیف را وارد کنم تا بتوانم از تخفیف در خرید خود بهره‌مند شوم. 
11,به عنوان یک مشتری من می‌خواهم بتوانم جزئیات کامل محصول را مشاهده کنم تا بتوانم تصمیم بگیرم که آیا آن محصول مناسب من است یا نه. 
12,به عنوان یک مشتری بین‌المللی من می‌خواهم بتوانم ارز قیمت‌ها را تغییر دهم تا بتوانم قیمت‌ها را به ارز مورد نظر خود مشاهده کنم. 
13,به عنوان یک مشتری من می‌خواهم بتوانم پس از خرید محصول نظر خود را به راحتی ارسال کنم تا بتوانم تجربیاتم را با دیگران به اشتراک بگذارم و به بهبود خدمات کمک کنم. 
