no,userstory,role,capability,objective,informal_normalized_userstory,normalized_dataframe,tokenized_userstory,stopwords_userstory,lemmatized_userstory,string_lemmatized_userstory
1,به عنوان یک مشتری فروشگاه آنلاین من می‌خواهم بتوانم به راحتی و سریع محصولاتی که به دنبال آن‌ها هستم را پیدا کنم تا بتوانم خرید خود را بدون هیچ دردسری انجام دهم و وقت خود را صرف جستجوی طولانی نکنم. ,مشتری فروشگاه آنلاین,بتوانم به راحتی و سریع محصولاتی که به دنبال آن‌ها هستم را پیدا کنم,خرید خود را بدون هیچ دردسری انجام دهم و وقت خود را صرف جستجوی طولانی نکنم.,به عنوان یک مشتری فروشگاه آنلاین من می‌خواهم بتوانم به راحتی و سریع محصولاتی که به دنبال آن‌ها هستم را پیدا کنم تا بتوانم خرید خود را بدون هیچ دردسری انجام دهم و وقت خود را صرف جستجوی طولانی نکنم .,به عنوان یک مشتری فروشگاه آنلاین من می‌خواهم بتوانم به راحتی و سریع محصولاتی که به دنبال آن‌ها هستم را پیدا کنم تا بتوانم خرید خود را بدون هیچ دردسری انجام دهم و وقت خود را صرف جستجوی طولانی نکنم.,"['به', 'عنوان', 'یک', 'مشتری', 'فروشگاه', 'آنلاین', 'من', 'می\u200cخواهم', 'بتوانم', 'به', 'راحتی', 'و', 'سریع', 'محصولاتی', 'که', 'به', 'دنبال', 'آن\u200cها', 'هستم', 'را', 'پیدا', 'کنم', 'تا', 'بتوانم', 'خرید', 'خود', 'را', 'بدون', 'هیچ', 'دردسری', 'انجام', 'دهم', 'و', 'وقت', 'خود', 'را', 'صرف', 'جستجوی', 'طولانی', 'نکنم', '.']","['عنوان', 'مشتری', 'فروشگاه', 'آنلاین', 'می\u200cخواهم', 'بتوانم', 'راحتی', 'سریع', 'محصولاتی', 'دنبال', 'آن\u200cها', 'هستم', 'بتوانم', 'خرید', 'دردسری', 'انجام', 'دهم', 'وقت', 'جستجوی', 'طولانی', 'نکنم', '.']","['عنوان', 'مشتری', 'فروشگاه', 'آنلاین', 'خواست#خواه', 'توانست#توان', 'راحتی', 'سریع', 'محصولات', 'دنبال', 'آن', '#هست', 'توانست#توان', 'خرید', 'دردسر', 'انجام', 'دهم', 'وقت', 'جستجوی', 'طولانی', 'کرد#کن', '.']",عنوان مشتری فروشگاه آنلاین خواست#خواه توانست#توان راحتی سریع محصولات دنبال آن #هست توانست#توان خرید دردسر انجام دهم وقت جستجوی طولانی کرد#کن .
2,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌های خاص مانند سایز یا رنگ جستجو کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم. ,مشتری,بتوانم محصولات را بر اساس ویژگی‌های خاص مانند سایز یا رنگ جستجو کنم,سریع‌تر محصول مورد نظر خود را پیدا کنم.,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌های خاص مانند سایز یا رنگ جستجو کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم .,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌های خاص مانند سایز یا رنگ جستجو کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم.,"['به', 'عنوان', 'یک', 'مشتری', 'من', 'می\u200cخواهم', 'بتوانم', 'محصولات', 'را', 'بر', 'اساس', 'ویژگی\u200cهای', 'خاص', 'مانند', 'سایز', 'یا', 'رنگ', 'جستجو', 'کنم', 'تا', 'بتوانم', 'سریع\u200cتر', 'محصول', 'مورد', 'نظر', 'خود', 'را', 'پیدا', 'کنم', '.']","['عنوان', 'مشتری', 'می\u200cخواهم', 'بتوانم', 'محصولات', 'اساس', 'ویژگی\u200cهای', 'سایز', 'رنگ', 'جستجو', 'بتوانم', 'سریع\u200cتر', 'محصول', '.']","['عنوان', 'مشتری', 'خواست#خواه', 'توانست#توان', 'محصولات', 'اساس', 'ویژگی', 'سایز', 'رنگ', 'جستجو', 'توانست#توان', 'سریع', 'محصول', '.']",عنوان مشتری خواست#خواه توانست#توان محصولات اساس ویژگی سایز رنگ جستجو توانست#توان سریع محصول .
3,به عنوان یک مشتری من می‌خواهم آدرس تحویل جدیدی به سرعت اضافه کنم تا بتوانم سفارشات خود را به مکان جدید دریافت کنم. ,مشتری,آدرس تحویل جدیدی به سرعت اضافه کنم,سفارشات خود را به مکان جدید دریافت کنم.,به عنوان یک مشتری من می‌خواهم آدرس تحویل جدیدی به سرعت اضافه کنم تا بتوانم سفارشات خود را به مکان جدید دریافت کنم .,به عنوان یک مشتری من می‌خواهم آدرس تحویل جدیدی به سرعت اضافه کنم تا بتوانم سفارشات خود را به مکان جدید دریافت کنم.,"['به', 'عنوان', 'یک', 'مشتری', 'من', 'می\u200cخواهم', 'آدرس', 'تحویل', 'جدیدی', 'به', 'سرعت', 'اضافه', 'کنم', 'تا', 'بتوانم', 'سفارشات', 'خود', 'را', 'به', 'مکان', 'جدید', 'دریافت', 'کنم', '.']","['عنوان', 'مشتری', 'می\u200cخواهم', 'آدرس', 'تحویل', 'جدیدی', 'سرعت', 'اضافه', 'بتوانم', 'سفارشات', 'مکان', 'دریافت', '.']","['عنوان', 'مشتری', 'خواست#خواه', 'آدرس', 'تحویل', 'جدیدی', 'سرعت', 'اضافه', 'توانست#توان', 'سفار', 'مکان', 'دریافت', '.']",عنوان مشتری خواست#خواه آدرس تحویل جدیدی سرعت اضافه توانست#توان سفار مکان دریافت .
4,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌هایی مانند قیمت، برند و رتبه‌بندی فیلتر کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم. ,مشتری,بتوانم محصولات را بر اساس ویژگی‌هایی مانند قیمت، برند و رتبه‌بندی فیلتر کنم,سریع‌تر محصول مورد نظر خود را پیدا کنم.,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌هایی مانند قیمت ، برند و رتبه‌بندی فیلتر کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم .,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را بر اساس ویژگی‌هایی مانند قیمت، برند و رتبه‌بندی فیلتر کنم تا بتوانم سریع‌تر محصول مورد نظر خود را پیدا کنم.,"['به', 'عنوان', 'یک', 'مشتری', 'من', 'می\u200cخواهم', 'بتوانم', 'محصولات', 'را', 'بر', 'اساس', 'ویژگی\u200cهایی', 'مانند', 'قیمت', '،', 'برند', 'و', 'رتبه\u200cبندی', 'فیلتر', 'کنم', 'تا', 'بتوانم', 'سریع\u200cتر', 'محصول', 'مورد', 'نظر', 'خود', 'را', 'پیدا', 'کنم', '.']","['عنوان', 'مشتری', 'می\u200cخواهم', 'بتوانم', 'محصولات', 'اساس', 'ویژگی\u200cهایی', 'قیمت', '،', 'برند', 'رتبه\u200cبندی', 'فیلتر', 'بتوانم', 'سریع\u200cتر', 'محصول', '.']","['عنوان', 'مشتری', 'خواست#خواه', 'توانست#توان', 'محصولات', 'اساس', 'ویژگی', 'قیمت', '،', 'برد#بر', 'رتبه\u200cبندی', 'فیلتر', 'توانست#توان', 'سریع', 'محصول', '.']",عنوان مشتری خواست#خواه توانست#توان محصولات اساس ویژگی قیمت ، برد#بر رتبه‌بندی فیلتر توانست#توان سریع محصول .
5,به عنوان یک مشتری من می‌خواهم بتوانم وضعیت تحویل سفارش خود را پیگیری کنم تا بتوانم زمان دقیق تحویل را بدانم. ,مشتری,بتوانم وضعیت تحویل سفارش خود را پیگیری کنم,زمان دقیق تحویل را بدانم.,به عنوان یک مشتری من می‌خواهم بتوانم وضعیت تحویل سفارش خود را پیگیری کنم تا بتوانم زمان دقیق تحویل را بدانم .,به عنوان یک مشتری من می‌خواهم بتوانم وضعیت تحویل سفارش خود را پیگیری کنم تا بتوانم زمان دقیق تحویل را بدانم.,"['به', 'عنوان', 'یک', 'مشتری', 'من', 'می\u200cخواهم', 'بتوانم', 'وضعیت', 'تحویل', 'سفارش', 'خود', 'را', 'پیگیری', 'کنم', 'تا', 'بتوانم', 'زمان', 'دقیق', 'تحویل', 'را', 'بدانم', '.']","['عنوان', 'مشتری', 'می\u200cخواهم', 'بتوانم', 'وضعیت', 'تحویل', 'سفارش', 'پیگیری', 'بتوانم', 'زمان', 'دقیق', 'تحویل', 'بدانم', '.']","['عنوان', 'مشتری', 'خواست#خواه', 'توانست#توان', 'وضعیت', 'تحویل', 'سفارش', 'پیگیری', 'توانست#توان', 'زمان', 'دقیق', 'تحویل', 'دانست#دان', '.']",عنوان مشتری خواست#خواه توانست#توان وضعیت تحویل سفارش پیگیری توانست#توان زمان دقیق تحویل دانست#دان .
6,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را برای خریدهای آینده ذخیره کنم تا بتوانم بعداً به راحتی آن‌ها را خریداری کنم. ,مشتری,بتوانم محصولات را برای خریدهای آینده ذخیره کنم,بعداً به راحتی آن‌ها را خریداری کنم.,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را برای خریدهای آینده ذخیره کنم تا بتوانم بعداً به راحتی آن‌ها را خریداری کنم .,به عنوان یک مشتری من می‌خواهم بتوانم محصولات را برای خریدهای آینده ذخیره کنم تا بتوانم بعدا به راحتی آن‌ها را خریداری کنم.,"['به', 'عنوان', 'یک', 'مشتری', 'من', 'می\u200cخواهم', 'بتوانم', 'محصولات', 'را', 'برای', 'خریدهای', 'آینده', 'ذخیره', 'کنم', 'تا', 'بتوانم', 'بعدا', 'به', 'راحتی', 'آن\u200cها', 'را', 'خریداری', 'کنم', '.']","['عنوان', 'مشتری', 'می\u200cخواهم', 'بتوانم', 'محصولات', 'خریدهای', 'آینده', 'ذخیره', 'بتوانم', 'بعدا', 'راحتی', 'آن\u200cها', 'خریداری', '.']","['عنوان', 'مشتری', 'خواست#خواه', 'توانست#توان', 'محصولات', 'خرید', 'آینده', 'ذخیره', 'توانست#توان', 'بعدا', 'راحتی', 'آن', 'خریداری', '.']",عنوان مشتری خواست#خواه توانست#توان محصولات خرید آینده ذخیره توانست#توان بعدا راحتی آن خریداری .
7,به عنوان یک کاربر من می‌خواهم امکان اشتراک در خبرنامه وب‌سایت را داشته باشم تا بتوانم از آخرین تخفیف‌ها و پیشنهادات آگاه شوم. ,کاربر,امکان اشتراک در خبرنامه وب‌سایت را داشته باشم,از آخرین تخفیف‌ها و پیشنهادات آگاه شوم.,به عنوان یک کاربر من می‌خواهم امکان اشتراک در خبرنامه وب‌سایت را داشته_باشم تا بتوانم از آخرین تخفیف‌ها و پیشنهادات آگاه شوم .,به عنوان یک کاربر من می‌خواهم امکان اشتراک در خبرنامه وب‌سایت را داشته_باشم تا بتوانم از آخرین تخفیف‌ها و پیشنهادات آگاه شوم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'امکان', 'اشتراک', 'در', 'خبرنامه', 'وب\u200cسایت', 'را', 'داشته_باشم', 'تا', 'بتوانم', 'از', 'آخرین', 'تخفیف\u200cها', 'و', 'پیشنهادات', 'آگاه', 'شوم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'اشتراک', 'خبرنامه', 'وب\u200cسایت', 'داشته_باشم', 'بتوانم', 'تخفیف\u200cها', 'پیشنهادات', 'آگاه', 'شوم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'اشتراک', 'خبرنامه', 'وب\u200cسایت', 'داشت#دار', 'توانست#توان', 'تخفیف', 'پیشنهادات', 'آگاه', 'شوم', '.']",عنوان کاربر خواست#خواه اشتراک خبرنامه وب‌سایت داشت#دار توانست#توان تخفیف پیشنهادات آگاه شوم .
8,به عنوان یک کاربر غیر بومی من می‌خواهم زبان سایت را تغییر دهم تا بتوانم محتوای سایت را به زبان خودم مطالعه کنم. ,کاربر غیر بومی,زبان سایت را تغییر دهم,محتوای سایت را به زبان خودم مطالعه کنم.,به عنوان یک کاربر غیر بومی من می‌خواهم زبان سایت را تغییر دهم تا بتوانم محتوای سایت را به زبان خودم مطالعه کنم .,به عنوان یک کاربر غیر بومی من می‌خواهم زبان سایت را تغییر دهم تا بتوانم محتوای سایت را به زبان خودم مطالعه کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'غیر', 'بومی', 'من', 'می\u200cخواهم', 'زبان', 'سایت', 'را', 'تغییر', 'دهم', 'تا', 'بتوانم', 'محتوای', 'سایت', 'را', 'به', 'زبان', 'خودم', 'مطالعه', 'کنم', '.']","['عنوان', 'کاربر', 'بومی', 'می\u200cخواهم', 'زبان', 'سایت', 'دهم', 'بتوانم', 'محتوای', 'سایت', 'زبان', 'خودم', 'مطالعه', '.']","['عنوان', 'کاربر', 'بومی', 'خواست#خواه', 'زبان', 'سایت', 'دهم', 'توانست#توان', 'محتوا', 'سایت', 'زبان', 'خودم', 'مطالعه', '.']",عنوان کاربر بومی خواست#خواه زبان سایت دهم توانست#توان محتوا سایت زبان خودم مطالعه .
9,به عنوان یک کاربر من می‌خواهم بتوانم با استفاده از حساب‌های اجتماعی وارد سایت شوم تا بتوانم فرآیند ورود را سریع‌تر انجام دهم. ,کاربر,بتوانم با استفاده از حساب‌های اجتماعی وارد سایت شوم,فرآیند ورود را سریع‌تر انجام دهم.,به عنوان یک کاربر من می‌خواهم بتوانم با استفاده از حساب‌های اجتماعی وارد سایت شوم تا بتوانم فرآیند ورود را سریع‌تر انجام دهم .,به عنوان یک کاربر من می‌خواهم بتوانم با استفاده از حساب‌های اجتماعی وارد سایت شوم تا بتوانم فرآیند ورود را سریع‌تر انجام دهم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'بتوانم', 'با', 'استفاده', 'از', 'حساب\u200cهای', 'اجتماعی', 'وارد', 'سایت', 'شوم', 'تا', 'بتوانم', 'فرآیند', 'ورود', 'را', 'سریع\u200cتر', 'انجام', 'دهم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'بتوانم', 'استفاده', 'حساب\u200cهای', 'اجتماعی', 'سایت', 'شوم', 'بتوانم', 'فرآیند', 'ورود', 'سریع\u200cتر', 'انجام', 'دهم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'توانست#توان', 'استفاده', 'حساب', 'اجتماعی', 'سایت', 'شوم', 'توانست#توان', 'فرآیند', 'ورود', 'سریع', 'انجام', 'دهم', '.']",عنوان کاربر خواست#خواه توانست#توان استفاده حساب اجتماعی سایت شوم توانست#توان فرآیند ورود سریع انجام دهم .
10,به عنوان یک مشتری من می‌خواهم بتوانم کد تخفیف را وارد کنم تا بتوانم از تخفیف در خرید خود بهره‌مند شوم. ,مشتری,بتوانم کد تخفیف را وارد کنم,از تخفیف در خرید خود بهره‌مند شوم.,به عنوان یک مشتری من می‌خواهم بتوانم کد تخفیف را وارد کنم تا بتوانم از تخفیف در خرید خود بهره‌مند شوم .,به عنوان یک مشتری من می‌خواهم بتوانم کد تخفیف را وارد کنم تا بتوانم از تخفیف در خرید خود بهره‌مند شوم.,"['به', 'عنوان', 'یک', 'مشتری', 'من', 'می\u200cخواهم', 'بتوانم', 'کد', 'تخفیف', 'را', 'وارد', 'کنم', 'تا', 'بتوانم', 'از', 'تخفیف', 'در', 'خرید', 'خود', 'بهره\u200cمند', 'شوم', '.']","['عنوان', 'مشتری', 'می\u200cخواهم', 'بتوانم', 'کد', 'تخفیف', 'بتوانم', 'تخفیف', 'خرید', 'بهره\u200cمند', 'شوم', '.']","['عنوان', 'مشتری', 'خواست#خواه', 'توانست#توان', 'کد', 'تخفیف', 'توانست#توان', 'تخفیف', 'خرید', 'بهره\u200cمند', 'شوم', '.']",عنوان مشتری خواست#خواه توانست#توان کد تخفیف توانست#توان تخفیف خرید بهره‌مند شوم .
