no,userstory,role,capability,objective,informal_normalized_userstory,normalized_dataframe,tokenized_userstory,stopwords_userstory,lemmatized_userstory,string_lemmatized_userstory
۱,به عنوان یک کاربر جدید من می‌خواهم پس از ورود به سیستم، یک راهنمای گام به گام برای انجام وظایف ابتدایی دریافت کنم تا بتوانم بدون نیاز به آموزش اضافی، کارکرد هر گزینه را درک کنم. ,کاربر جدید,پس از ورود به سیستم، یک راهنمای گام به گام برای انجام وظایف ابتدایی دریافت کنم,بدون نیاز به آموزش اضافی، کارکرد هر گزینه را درک کنم.,به عنوان یک کاربر جدید من می‌خواهم پس از ورود به سیستم ، یک راهنمای گام به گام برای انجام وظایف ابتدایی دریافت کنم تا بتوانم بدون نیاز به آموزش اضافی ، کارکرد هر گزینه را درک کنم .,به عنوان یک کاربر جدید من می‌خواهم پس از ورود به سیستم، یک راهنمای گام به گام برای انجام وظایف ابتدایی دریافت کنم تا بتوانم بدون نیاز به آموزش اضافی، کارکرد هر گزینه را درک کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'جدید', 'من', 'می\u200cخواهم', 'پس', 'از', 'ورود', 'به', 'سیستم', '،', 'یک', 'راهنمای', 'گام', 'به', 'گام', 'برای', 'انجام', 'وظایف', 'ابتدایی', 'دریافت', 'کنم', 'تا', 'بتوانم', 'بدون', 'نیاز', 'به', 'آموزش', 'اضافی', '،', 'کارکرد', 'هر', 'گزینه', 'را', 'درک', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'ورود', 'سیستم', '،', 'راهنمای', 'گام', 'گام', 'انجام', 'وظایف', 'ابتدایی', 'دریافت', 'بتوانم', 'آموزش', 'اضافی', '،', 'کارکرد', 'گزینه', 'درک', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'ورود', 'سیستم', '،', 'راهنمای', 'گام', 'گام', 'انجام', 'وظایف', 'ابتدایی', 'دریافت', 'توانست#توان', 'آموزش', 'اضافی', '،', 'کارکرد', 'گزینه', 'درک', '.']",عنوان کاربر خواست#خواه ورود سیستم ، راهنمای گام گام انجام وظایف ابتدایی دریافت توانست#توان آموزش اضافی ، کارکرد گزینه درک .
۲,به عنوان یک کاربر جدید من می‌خواهم انیمیشن‌های آموزشی در طول فرایند اولیه استفاده از نرم‌افزار ارائه شود تا بتوانم به صورت بصری یاد بگیرم چگونه از ویژگی‌های مختلف سیستم استفاده کنم. ,کاربر جدید,انیمیشن‌های آموزشی در طول فرایند اولیه استفاده از نرم‌افزار ارائه شود,به صورت بصری یاد بگیرم چگونه از ویژگی‌های مختلف سیستم استفاده کنم.,به عنوان یک کاربر جدید من می‌خواهم انیمیشن‌های آموزشی در طول فرایند اولیه استفاده از نرم‌افزار ارائه شود تا بتوانم به صورت بصری یاد بگیرم چگونه از ویژگی‌های مختلف سیستم استفاده کنم .,به عنوان یک کاربر جدید من می‌خواهم انیمیشن‌های آموزشی در طول فرایند اولیه استفاده از نرم‌افزار ارائه شود تا بتوانم به صورت بصری یاد بگیرم چگونه از ویژگی‌های مختلف سیستم استفاده کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'جدید', 'من', 'می\u200cخواهم', 'انیمیشن\u200cهای', 'آموزشی', 'در', 'طول', 'فرایند', 'اولیه', 'استفاده', 'از', 'نرم\u200cافزار', 'ارائه', 'شود', 'تا', 'بتوانم', 'به', 'صورت', 'بصری', 'یاد', 'بگیرم', 'چگونه', 'از', 'ویژگی\u200cهای', 'مختلف', 'سیستم', 'استفاده', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'انیمیشن\u200cهای', 'آموزشی', 'فرایند', 'اولیه', 'استفاده', 'نرم\u200cافزار', 'ارائه', 'بتوانم', 'صورت', 'بصری', 'یاد', 'بگیرم', 'ویژگی\u200cهای', 'مختلف', 'سیستم', 'استفاده', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'انیمیشن', 'آموزشی', 'فرایند', 'اولیه', 'استفاده', 'نرم\u200cافزار', 'ارائه', 'توانست#توان', 'صورت', 'بصری', 'یاد', 'گرفت#گیر', 'ویژگی', 'مختلف', 'سیستم', 'استفاده', '.']",عنوان کاربر خواست#خواه انیمیشن آموزشی فرایند اولیه استفاده نرم‌افزار ارائه توانست#توان صورت بصری یاد گرفت#گیر ویژگی مختلف سیستم استفاده .
۳,به عنوان یک کاربر جدید من می‌خواهم هنگام تعامل با سیستم، توضیحات متنی و راهنمایی‌های لحظه‌ای دریافت کنم تا بتوانم درک دقیقی از وظایف و مراحل مختلف نرم‌افزار پیدا کنم. ,کاربر جدید,هنگام تعامل با سیستم، توضیحات متنی و راهنمایی‌های لحظه‌ای دریافت کنم,درک دقیقی از وظایف و مراحل مختلف نرم‌افزار پیدا کنم.,به عنوان یک کاربر جدید من می‌خواهم هنگام تعامل با سیستم ، توضیحات متنی و راهنمایی‌های لحظه‌ای دریافت کنم تا بتوانم درک دقیقی از وظایف و مراحل مختلف نرم‌افزار پیدا کنم .,به عنوان یک کاربر جدید من می‌خواهم هنگام تعامل با سیستم، توضیحات متنی و راهنمایی‌های لحظه‌ای دریافت کنم تا بتوانم درک دقیقی از وظایف و مراحل مختلف نرم‌افزار پیدا کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'جدید', 'من', 'می\u200cخواهم', 'هنگام', 'تعامل', 'با', 'سیستم', '،', 'توضیحات', 'متنی', 'و', 'راهنمایی\u200cهای', 'لحظه\u200cای', 'دریافت', 'کنم', 'تا', 'بتوانم', 'درک', 'دقیقی', 'از', 'وظایف', 'و', 'مراحل', 'مختلف', 'نرم\u200cافزار', 'پیدا', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'تعامل', 'سیستم', '،', 'توضیحات', 'متنی', 'راهنمایی\u200cهای', 'لحظه\u200cای', 'دریافت', 'بتوانم', 'درک', 'دقیقی', 'وظایف', 'مراحل', 'مختلف', 'نرم\u200cافزار', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'تعامل', 'سیستم', '،', 'توضیحات', 'متنی', 'راهنمایی\u200cهای', 'لحظه', 'دریافت', 'توانست#توان', 'درک', 'دقیقی', 'وظایف', 'مراحل', 'مختلف', 'نرم\u200cافزار', '.']",عنوان کاربر خواست#خواه تعامل سیستم ، توضیحات متنی راهنمایی‌های لحظه دریافت توانست#توان درک دقیقی وظایف مراحل مختلف نرم‌افزار .
۴,به عنوان یک کاربر من می‌خواهم داشبورد سیستم ساده طراحی شود تا بتوانم براحتی از آن استفاده کنم,کاربر,داشبورد سیستم ساده طراحی شود,براحتی از آن استفاده کنم,به عنوان یک کاربر من می‌خواهم داشبورد سیستم ساده طراحی شود تا بتوانم براحتی از آن استفاده کنم,به عنوان یک کاربر من می‌خواهم داشبورد سیستم ساده طراحی شود تا بتوانم براحتی از آن استفاده کنم,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'داشبورد', 'سیستم', 'ساده', 'طراحی', 'شود', 'تا', 'بتوانم', 'براحتی', 'از', 'آن', 'استفاده', 'کنم']","['عنوان', 'کاربر', 'می\u200cخواهم', 'داشبورد', 'سیستم', 'ساده', 'طراحی', 'بتوانم', 'براحتی', 'استفاده']","['عنوان', 'کاربر', 'خواست#خواه', 'داشبورد', 'سیستم', 'ساده', 'طراحی', 'توانست#توان', 'براحتی', 'استفاده']",عنوان کاربر خواست#خواه داشبورد سیستم ساده طراحی توانست#توان براحتی استفاده
۵,به عنوان یک کاربر جدید من می‌خواهم رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد تا بتوانم به‌راحتی در ابتدا از آن استفاده کنم و سریعاً یاد بگیرم که چگونه وظایف مختلف را انجام دهم. ,کاربر جدید,رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد,به‌راحتی در ابتدا از آن استفاده کنم و سریعاً یاد بگیرم که چگونه وظایف مختلف را انجام دهم.,به عنوان یک کاربر جدید من می‌خواهم رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد تا بتوانم به‌راحتی در ابتدا از آن استفاده کنم و سریع‌ها یاد بگیرم که چگونه وظایف مختلف را انجام دهم .,به عنوان یک کاربر جدید من می‌خواهم رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد تا بتوانم به‌راحتی در ابتدا از آن استفاده کنم و سریع‌ها یاد بگیرم که چگونه وظایف مختلف را انجام دهم.,"['به', 'عنوان', 'یک', 'کاربر', 'جدید', 'من', 'می\u200cخواهم', 'رابط', 'کاربری', 'نرم\u200cافزار', 'به\u200cطور', 'واضح', 'و', 'بدون', 'پیچیدگی', 'باشد', 'تا', 'بتوانم', 'به\u200cراحتی', 'در', 'ابتدا', 'از', 'آن', 'استفاده', 'کنم', 'و', 'سریع\u200cها', 'یاد', 'بگیرم', 'که', 'چگونه', 'وظایف', 'مختلف', 'را', 'انجام', 'دهم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'رابط', 'کاربری', 'نرم\u200cافزار', 'به\u200cطور', 'واضح', 'پیچیدگی', 'بتوانم', 'به\u200cراحتی', 'استفاده', 'سریع\u200cها', 'یاد', 'بگیرم', 'وظایف', 'مختلف', 'انجام', 'دهم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'رابط', 'کاربری', 'نرم\u200cافزار', 'به\u200cطور', 'واضح', 'پیچیدگی', 'توانست#توان', 'به\u200cراحتی', 'استفاده', 'سریع', 'یاد', 'گرفت#گیر', 'وظایف', 'مختلف', 'انجام', 'دهم', '.']",عنوان کاربر خواست#خواه رابط کاربری نرم‌افزار به‌طور واضح پیچیدگی توانست#توان به‌راحتی استفاده سریع یاد گرفت#گیر وظایف مختلف انجام دهم .
۶,به عنوان یک کاربر جدید من می‌خواهم رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد تا بتوانم به‌سرعت بدون نیاز به آموزش رسمی به سیستم مسلط شوم. ,کاربر جدید,رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد,به‌سرعت بدون نیاز به آموزش رسمی به سیستم مسلط شوم.,به عنوان یک کاربر جدید من می‌خواهم رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد تا بتوانم به‌سرعت بدون نیاز به آموزش رسمی به سیستم مسلط شوم .,به عنوان یک کاربر جدید من می‌خواهم رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد تا بتوانم به‌سرعت بدون نیاز به آموزش رسمی به سیستم مسلط شوم.,"['به', 'عنوان', 'یک', 'کاربر', 'جدید', 'من', 'می\u200cخواهم', 'رابط', 'کاربری', 'نرم\u200cافزار', 'به\u200cطور', 'واضح', 'و', 'بدون', 'پیچیدگی', 'باشد', 'تا', 'بتوانم', 'به\u200cسرعت', 'بدون', 'نیاز', 'به', 'آموزش', 'رسمی', 'به', 'سیستم', 'مسلط', 'شوم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'رابط', 'کاربری', 'نرم\u200cافزار', 'به\u200cطور', 'واضح', 'پیچیدگی', 'بتوانم', 'به\u200cسرعت', 'آموزش', 'رسمی', 'سیستم', 'مسلط', 'شوم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'رابط', 'کاربری', 'نرم\u200cافزار', 'به\u200cطور', 'واضح', 'پیچیدگی', 'توانست#توان', 'به\u200cسرعت', 'آموزش', 'رسمی', 'سیستم', 'مسلط', 'شوم', '.']",عنوان کاربر خواست#خواه رابط کاربری نرم‌افزار به‌طور واضح پیچیدگی توانست#توان به‌سرعت آموزش رسمی سیستم مسلط شوم .
۷,به عنوان یک کاربر من می‌خواهم هر آیکون در نرم‌افزار همراه با توضیحات متنی باشد تا بتوانم به راحتی معنی هر آیکون را درک کنم و سریعاً نحوه استفاده از آن را یاد بگیرم. ,کاربر,هر آیکون در نرم‌افزار همراه با توضیحات متنی باشد,به راحتی معنی هر آیکون را درک کنم و سریعاً نحوه استفاده از آن را یاد بگیرم.,به عنوان یک کاربر من می‌خواهم هر آیکون در نرم‌افزار همراه با توضیحات متنی باشد تا بتوانم به راحتی معنی هر آیکون را درک کنم و سریع‌ها نحوه استفاده از آن را یاد بگیرم .,به عنوان یک کاربر من می‌خواهم هر آیکون در نرم‌افزار همراه با توضیحات متنی باشد تا بتوانم به راحتی معنی هر آیکون را درک کنم و سریع‌ها نحوه استفاده از آن را یاد بگیرم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'هر', 'آیکون', 'در', 'نرم\u200cافزار', 'همراه', 'با', 'توضیحات', 'متنی', 'باشد', 'تا', 'بتوانم', 'به', 'راحتی', 'معنی', 'هر', 'آیکون', 'را', 'درک', 'کنم', 'و', 'سریع\u200cها', 'نحوه', 'استفاده', 'از', 'آن', 'را', 'یاد', 'بگیرم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'آیکون', 'نرم\u200cافزار', 'همراه', 'توضیحات', 'متنی', 'بتوانم', 'راحتی', 'معنی', 'آیکون', 'درک', 'سریع\u200cها', 'استفاده', 'یاد', 'بگیرم', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'آیکون', 'نرم\u200cافزار', 'همراه', 'توضیحات', 'متنی', 'توانست#توان', 'راحتی', 'معنی', 'آیکون', 'درک', 'سریع', 'استفاده', 'یاد', 'گرفت#گیر', '.']",عنوان کاربر خواست#خواه آیکون نرم‌افزار همراه توضیحات متنی توانست#توان راحتی معنی آیکون درک سریع استفاده یاد گرفت#گیر .
۸,به عنوان یک کاربر من می‌خواهم سیستم به طور هوشمند پیشنهاداتی برای تسهیل استفاده به من بدهد من می‌خواهم هنگام به‌روزرسانی نرم‌افزار، توضیحات واضحی در مورد تغییرات جدید دریافت کنم تا بتوانم به راحتی ویژگی‌های جدید را یاد بگیرم و از آن‌ها استفاده کنم. ,کاربر,سیستم به طور هوشمند پیشنهاداتی برای تسهیل استفاده به من بدهد من می‌خواهم هنگام به‌روزرسانی نرم‌افزار، توضیحات واضحی در مورد تغییرات جدید دریافت کنم,به راحتی ویژگی‌های جدید را یاد بگیرم و از آن‌ها استفاده کنم.,به عنوان یک کاربر من می‌خواهم سیستم به طور هوشمند پیشنهاداتی برای تسهیل استفاده به من بدهد من می‌خواهم هنگام به‌روزرسانی نرم‌افزار ، توضیحات واضحی در مورد تغییرات جدید دریافت کنم تا بتوانم به راحتی ویژگی‌های جدید را یاد بگیرم و از آن‌ها استفاده کنم .,به عنوان یک کاربر من می‌خواهم سیستم به طور هوشمند پیشنهاداتی برای تسهیل استفاده به من بدهد من می‌خواهم هنگام به‌روزرسانی نرم‌افزار، توضیحات واضحی در مورد تغییرات جدید دریافت کنم تا بتوانم به راحتی ویژگی‌های جدید را یاد بگیرم و از آن‌ها استفاده کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'سیستم', 'به', 'طور', 'هوشمند', 'پیشنهاداتی', 'برای', 'تسهیل', 'استفاده', 'به', 'من', 'بدهد', 'من', 'می\u200cخواهم', 'هنگام', 'به\u200cروزرسانی', 'نرم\u200cافزار', '،', 'توضیحات', 'واضحی', 'در', 'مورد', 'تغییرات', 'جدید', 'دریافت', 'کنم', 'تا', 'بتوانم', 'به', 'راحتی', 'ویژگی\u200cهای', 'جدید', 'را', 'یاد', 'بگیرم', 'و', 'از', 'آن\u200cها', 'استفاده', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'سیستم', 'هوشمند', 'پیشنهاداتی', 'تسهیل', 'استفاده', 'بدهد', 'می\u200cخواهم', 'به\u200cروزرسانی', 'نرم\u200cافزار', '،', 'توضیحات', 'واضحی', 'تغییرات', 'دریافت', 'بتوانم', 'راحتی', 'ویژگی\u200cهای', 'یاد', 'بگیرم', 'آن\u200cها', 'استفاده', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'سیستم', 'هوشمند', 'پیشنهادات', 'تسهیل', 'استفاده', 'داد#ده', 'خواست#خواه', 'به\u200cروزرسانی', 'نرم\u200cافزار', '،', 'توضیحات', 'واضح', 'تغییرات', 'دریافت', 'توانست#توان', 'راحتی', 'ویژگی', 'یاد', 'گرفت#گیر', 'آن', 'استفاده', '.']",عنوان کاربر خواست#خواه سیستم هوشمند پیشنهادات تسهیل استفاده داد#ده خواست#خواه به‌روزرسانی نرم‌افزار ، توضیحات واضح تغییرات دریافت توانست#توان راحتی ویژگی یاد گرفت#گیر آن استفاده .
۹,به عنوان یک کاربر من می‌خواهم پنل کاربری را به‌طور شخصی‌سازی‌شده تنظیم کنم تا بتوانم سریع‌تر و با سهولت بیشتری به قسمت‌های مختلف سیستم دسترسی پیدا کنم. ,کاربر,پنل کاربری را به‌طور شخصی‌سازی‌شده تنظیم کنم,سریع‌تر و با سهولت بیشتری به قسمت‌های مختلف سیستم دسترسی پیدا کنم.,به عنوان یک کاربر من می‌خواهم پنل کاربری را به‌طور شخصی‌سازی‌شده تنظیم کنم تا بتوانم سریع‌تر و با سهولت بیشتری به قسمت‌های مختلف سیستم دسترسی پیدا کنم .,به عنوان یک کاربر من می‌خواهم پنل کاربری را به‌طور شخصی‌سازی‌شده تنظیم کنم تا بتوانم سریع‌تر و با سهولت بیشتری به قسمت‌های مختلف سیستم دسترسی پیدا کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'من', 'می\u200cخواهم', 'پنل', 'کاربری', 'را', 'به\u200cطور', 'شخصی\u200cسازی\u200cشده', 'تنظیم', 'کنم', 'تا', 'بتوانم', 'سریع\u200cتر', 'و', 'با', 'سهولت', 'بیشتری', 'به', 'قسمت\u200cهای', 'مختلف', 'سیستم', 'دسترسی', 'پیدا', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'پنل', 'کاربری', 'به\u200cطور', 'شخصی\u200cسازی\u200cشده', 'تنظیم', 'بتوانم', 'سریع\u200cتر', 'سهولت', 'قسمت\u200cهای', 'مختلف', 'سیستم', 'دسترسی', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'پنل', 'کاربری', 'به\u200cطور', 'شخصی\u200cسازی\u200cشده', 'تنظیم', 'توانست#توان', 'سریع', 'سهولت', 'قسمت', 'مختلف', 'سیستم', 'دسترسی', '.']",عنوان کاربر خواست#خواه پنل کاربری به‌طور شخصی‌سازی‌شده تنظیم توانست#توان سریع سهولت قسمت مختلف سیستم دسترسی .
۱۰,به عنوان یک کاربر جدید من می‌خواهم بتوانم در هر لحظه از سیستم کمک آنلاین دریافت کنم تا بتوانم در صورت نیاز به راهنمایی، فوراً به اطلاعات لازم دسترسی پیدا کنم و یاد بگیرم که چگونه از سیستم استفاده کنم. ,کاربر جدید,بتوانم در هر لحظه از سیستم کمک آنلاین دریافت کنم,در صورت نیاز به راهنمایی، فوراً به اطلاعات لازم دسترسی پیدا کنم و یاد بگیرم که چگونه از سیستم استفاده کنم.,به عنوان یک کاربر جدید من می‌خواهم بتوانم در هر لحظه از سیستم کمک آنلاین دریافت کنم تا بتوانم در صورت نیاز به راهنمایی ، فورا به اطلاعات لازم دسترسی پیدا کنم و یاد بگیرم که چگونه از سیستم استفاده کنم .,به عنوان یک کاربر جدید من می‌خواهم بتوانم در هر لحظه از سیستم کمک آنلاین دریافت کنم تا بتوانم در صورت نیاز به راهنمایی، فورا به اطلاعات لازم دسترسی پیدا کنم و یاد بگیرم که چگونه از سیستم استفاده کنم.,"['به', 'عنوان', 'یک', 'کاربر', 'جدید', 'من', 'می\u200cخواهم', 'بتوانم', 'در', 'هر', 'لحظه', 'از', 'سیستم', 'کمک', 'آنلاین', 'دریافت', 'کنم', 'تا', 'بتوانم', 'در', 'صورت', 'نیاز', 'به', 'راهنمایی', '،', 'فورا', 'به', 'اطلاعات', 'لازم', 'دسترسی', 'پیدا', 'کنم', 'و', 'یاد', 'بگیرم', 'که', 'چگونه', 'از', 'سیستم', 'استفاده', 'کنم', '.']","['عنوان', 'کاربر', 'می\u200cخواهم', 'بتوانم', 'لحظه', 'سیستم', 'کمک', 'آنلاین', 'دریافت', 'بتوانم', 'صورت', 'راهنمایی', '،', 'فورا', 'اطلاعات', 'دسترسی', 'یاد', 'بگیرم', 'سیستم', 'استفاده', '.']","['عنوان', 'کاربر', 'خواست#خواه', 'توانست#توان', 'لحظه', 'سیستم', 'کمک', 'آنلاین', 'دریافت', 'توانست#توان', 'صورت', 'راهنمایی', '،', 'فورا', 'اطلاعات', 'دسترسی', 'یاد', 'گرفت#گیر', 'سیستم', 'استفاده', '.']",عنوان کاربر خواست#خواه توانست#توان لحظه سیستم کمک آنلاین دریافت توانست#توان صورت راهنمایی ، فورا اطلاعات دسترسی یاد گرفت#گیر سیستم استفاده .
