no,userstory
۱,"به عنوان یک کاربر جدید من می‌خواهم پس از ورود به سیستم، یک راهنمای گام به گام برای انجام وظایف ابتدایی دریافت کنم تا بتوانم بدون نیاز به آموزش اضافی، کارکرد هر گزینه را درک کنم. "
۲,به عنوان یک کاربر جدید من می‌خواهم انیمیشن‌های آموزشی در طول فرایند اولیه استفاده از نرم‌افزار ارائه شود تا بتوانم به صورت بصری یاد بگیرم چگونه از ویژگی‌های مختلف سیستم استفاده کنم. 
۳,"به عنوان یک کاربر جدید من می‌خواهم هنگام تعامل با سیستم، توضیحات متنی و راهنمایی‌های لحظه‌ای دریافت کنم تا بتوانم درک دقیقی از وظایف و مراحل مختلف نرم‌افزار پیدا کنم. "
۴,به عنوان یک کاربر من می‌خواهم داشبورد سیستم ساده طراحی شود تا بتوانم براحتی از آن استفاده کنم
۵,به عنوان یک کاربر جدید من می‌خواهم رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد تا بتوانم به‌راحتی در ابتدا از آن استفاده کنم و سریعاً یاد بگیرم که چگونه وظایف مختلف را انجام دهم. 
۶,به عنوان یک کاربر جدید من می‌خواهم رابط کاربری نرم‌افزار به‌طور واضح و بدون پیچیدگی باشد تا بتوانم به‌سرعت بدون نیاز به آموزش رسمی به سیستم مسلط شوم. 
۷,به عنوان یک کاربر من می‌خواهم هر آیکون در نرم‌افزار همراه با توضیحات متنی باشد تا بتوانم به راحتی معنی هر آیکون را درک کنم و سریعاً نحوه استفاده از آن را یاد بگیرم. 
۸,"به عنوان یک کاربر من می‌خواهم سیستم به طور هوشمند پیشنهاداتی برای تسهیل استفاده به من بدهد من می‌خواهم هنگام به‌روزرسانی نرم‌افزار، توضیحات واضحی در مورد تغییرات جدید دریافت کنم تا بتوانم به راحتی ویژگی‌های جدید را یاد بگیرم و از آن‌ها استفاده کنم. "
۹,به عنوان یک کاربر من می‌خواهم پنل کاربری را به‌طور شخصی‌سازی‌شده تنظیم کنم تا بتوانم سریع‌تر و با سهولت بیشتری به قسمت‌های مختلف سیستم دسترسی پیدا کنم. 
۱۰,"به عنوان یک کاربر جدید من می‌خواهم بتوانم در هر لحظه از سیستم کمک آنلاین دریافت کنم تا بتوانم در صورت نیاز به راهنمایی، فوراً به اطلاعات لازم دسترسی پیدا کنم و یاد بگیرم که چگونه از سیستم استفاده کنم. "
۱۱,به عنوان یک کاربر جدید من می‌خواهم سیستم به‌طور پیش‌فرض تنظیمات ساده‌ای را برای من ارائه دهد تا بتوانم بدون اتلاف وقت فعالیت‌های خود را شروع کنم 
۱۲,"به عنوان یک کاربر من می‌خواهم وقتی ویژگی جدیدی به سیستم اضافه می‌شود، بتوانم سریعاً نحوه استفاده از آن را یاد بگیرم تا بتوانم بدون اتلاف وقت، از ویژگی‌های جدید بهره‌برداری کنم. "
۱۳,"به عنوان یک کاربر من می‌خواهم هنگام مواجهه با مشکل یا سوال، بتوانم از ابزارهای کمکی درون‌برنامه‌ای (مانند راهنما یا FAQs) استفاده کنم تا بتوانم مشکل خود را به سرعت برطرف نمایم"
۱۴,به عنوان یک کاربر جدید من می‌خواهم نمادهای استفاده‌شده در رابط کاربری واضح و توضیح‌دار باشند تا بتوانم بلافاصله وظایف مختلف را بدون نیاز به یادگیری طولانی انجام دهم. 
۱۵,"به عنوان یک کاربر من می‌خواهم برای ویژگی‌های پیچیده‌تر، از آموزش‌های تعاملی استفاده کنم  تا بتوانم به راحتی و بدون سردرگمی، آن ویژگی‌ها را یاد بگیرم. "
۱۶,به عنوان یک کاربر من می‌خواهم هر عملی که انجام می‌دهم (مانند پر کردن فرم یا ارسال درخواست) بازخورد فوری دریافت کنم تا بتوانم مطمئن شوم که عملیات درست انجام شده و نیاز به یادگیری مجدد ندارم. 
۱۷,به عنوان یک کاربر من می‌خواهم رابط کاربری به گونه‌ای طراحی شده باشد که بر کارکردهای اصلی تمرکز کند تا بتوانم یادگیری سریع و ساده‌ای داشته باشم و از استفاده از ابزارهای اضافی گیج نشوم. 
۱۸,"به عنوان یک کاربر من می‌خواهم هنگام یادگیری نحوه استفاده از یک ویژگی جدید، نمونه‌های کاربردی دریافت کنم تا بتوانم سریع‌تر و با اطمینان بیشتر آن ویژگی را امتحان کنم. "
۱۹,"به عنوان یک کاربر من می‌خواهم دستیار مجازی یا ربات چت درون‌برنامه‌ای در دسترس باشد تا بتوانم هر زمان که سوالی داشتم، به راحتی جواب بگیرم و از سردرگمی جلوگیری کنم. "
۲۰,"به عنوان یک کاربر من می‌خواهم هنگام بروزرسانی نرم‌افزار، آموزش‌ها و راهنماها به‌طور خودکار به‌روز شوند تا بتوانم هر زمان تغییراتی در سیستم اعمال شد، بلافاصله آن‌ها را یاد بگیرم. "
۲۱,"به عنوان یک کاربر جدید من می‌خواهم هنگام استفاده از نرم‌افزار، یک راهنمای خودکار در اختیارم باشد تا بتوانم به راحتی و بدون نیاز به جستجوی اضافی، با ویژگی‌ها و عملکردهای سیستم آشنا شوم و به سرعت از آن استفاده کنم."
۲۲,"به عنوان یک کاربر جدید من می‌خواهم به طور عملی تمرینات ساده‌ای برای یادگیری ویژگی‌های نرم‌افزار انجام دهم تا بتوانم از طریق تجربه مستقیم، سریع‌تر به مهارت در استفاده از سیستم دست یابم. "
۲۳,"به عنوان یک کاربر من می‌خواهم در صورت نیاز، بتوانم تنظیمات خود را به حالت پیش‌فرض بازگردانم تا بتوانم از هرگونه اشتباه یا تغییر ناخواسته جلوگیری کرده و تجربه کاربری خود را به حالت اولیه و مطلوب بازگردانم."
۲۴,به عنوان یک کاربر من می‌خواهم آموزش‌های ویدیویی کوتاه و کاربردی در نرم‌افزار داشته باشم تا بتوانم به سرعت با امکانات و ویژگی‌های نرم‌افزار آشنا شوم و از آن‌ها بهره‌برداری کنم بدون اینکه نیاز به مطالعه منابع طولانی یا پیچیده داشته باشم.
۲۵,"به عنوان یک کاربر من می‌خواهم نرم‌افزار به طور خودکار نیاز به آموزش را شناسایی کند و راهنماها را ارائه دهد تا بتوانم هر زمان که احساس کردم نیاز به راهنمایی دارم، به راحتی از آن بهره‌برداری کنم. "
۲۶,"به عنوان یک کاربر من می‌خواهم در صورتی که وظیفه‌ای پیچیده باشد، سیستم پیشنهادات و کمک‌های لازم را ارائه دهد تا بتوانم به سادگی آن وظیفه را یاد بگیرم و به درستی انجام دهم. "
۲۷,به عنوان یک کاربر من می‌خواهم بتوانم رابط کاربری نرم‌افزار را به راحتی سفارشی کنم تا بتوانم محیط کاری خود را به شکلی تنظیم کنم که کار کردن با آن برایم ساده‌تر باشد. 
۲۸,"به عنوان یک کاربر من می‌خواهم بتوانم قبل از اعمال تغییرات، پیش‌نمایشی از آن‌ها ببینم تا بتوانم مطمئن شوم که تغییرات به درستی اعمال می‌شوند و به راحتی از آن‌ها استفاده کنم. "
۲۹,"به عنوان یک دانش‌آموز من می‌خواهم پیشرفت من در دوره‌های آنلاین ذخیره شود تا بتوانم هر زمان که به دوره برگردم، از جایی که قبلاً ترک کرده‌ام ادامه دهم. "
۳۰,"به عنوان یک کاربر مبتدی من می‌خواهم یک راهنمای گام به گام داشته باشم که در هر مرحله استفاده از نرم‌افزار من را راهنمایی کند تا بتوانم به راحتی و با اعتماد به نفس از نرم‌افزار استفاده کنم، بدون اینکه احساس سردرگمی یا نیاز به جستجوی اطلاعات اضافی داشته باشم."
۳۱,به عنوان یک کاربر نرم‌افزار آموزشی من می‌خواهم سیستم به طور خودکار محتوای آموزشی را متناسب با سطح من به‌روزرسانی کند تا بتوانم تجربه یادگیری خود را با توجه به پیشرفت‌هایم بهبود دهم و چالش‌های جدیدی ایجاد کنم. 
